name,cuisine,latitude,longitude,city,rating,image,categories
Kolkata Street Food,Street Food,26.8901451,75.7560507,Jaipur,5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpfmcvogzpUnIznQF3CqcXnNmKimemW5OFoco5Tz-mLImc0eAgnezIORg5v5tlAcc5Lo2UKrI5SCatyavx-qZdKlvZ-snS3Im9f_Ka-bmIP8VnLmimJFCShI95ZnnPW1we0sPsENPTyZRguj8oF6lCCBHpXCLV95vg5__C_Xa0yqSCVgxnRGx9ftT5t--pUbDHw9G5iGDu-dzIazFmOle-dj4BeXJGNY5UmVbwXB2H0AnUMuhTwKMndeCh6TPaxmTR_OZFmcMR3eztVaYY6h_GAwyzhmF-i6qx5-uTAI1gcqItTiSzw&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Pandit Pav Bhaji,Street Food,26.9150482,75.80991569999999,Jaipur,3.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpdaHbzuvPufuvHIvIFy7EGMllpKHU30PdxhCXoISs1L1YI6_FC9E9wNW15hmAeBT9WPitzgREXgnsXaI1t5YkvazI-v08RD2kx272-CaztiBBSCqD1dmkk6VTstwwd1FFIjT1lzSA9_GDr8NI96yN1DKxY8YwGXUePr6XrNJhV0UoqBh-NQVVVqB6Blu73ns9zyQUzjoJljR686eW3Q5RsEk29BHD0CZMBXn36wLi2wHIJAy0JXaPsG0tx30R_RWKNWBjwN97jYAd1M-ELUggVXcsizhkWXEo0FHVA516i7U8ym0yWzgt5za9u7GVDitoXgFKcq5DcBSI0uNSNyNmdzRfab4qt4lj9_uixZb2KmMZxtB6mFSXEkzufAy3WP9qjV4QpaeChUbtTnTT3Uo8JEvKQUxA203eLBbWIRBypB_iH3S5b2zv0RQoVAEAw5sN5MeMcUgfLM2abEthDIH503FPlVdZ-7QUTRtiaDo8k1MSzDG7I_mQo6XDvsRrT14VWt_It0-MekkVivMAgAQf1ne-oPzrW86n2oNqN_HAME8gtirbKJPY7Ag6XO_ckG1P9gbaUW&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Falahaar,Street Food,26.9158962,75.82218560000001,Jaipur,4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpc4E6quWt_zPh2ExpGRhawvu7GGdtMzxKAjgsogcCN1xA_XyQwKi8yDFqG2EuBCg36L5ircWRTWchk1dHhsa5xmBeRmvJHaLg28YZ9BH_nBPKMX29wjxIgIIKTc6uOuEPSLtaSeOzwrhXhI5USIdgeCEQ4smZgoLNSuVxUlKXrJBcVFxj2ov8SNbywYaSnLdSzS3MA8-zlt1OTOo5i17BaAOfQpmaa0H4ncY00Jrq9ICXL0lDh1atjwTqlUO8kvwDIWadkx49p4m2adgs131PyCL4G_QpAaT-J7vTuWQZ1X0o2-DOk&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Soul Food Jaipur,Street Food,26.8489706,75.7991586,Jaipur,4.2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpckADe_XDKwIERW8dO1r0WbLSMvdldMgl7DUDWNFkUpZZlsDwm3daK3OcVuHjcvxzwTVrYI_NbXyDCydqVcUFsizMPeetARg2VAX2QgRGP8sCzvnjaUysQkgY7YbQRH4eH__2xPJWF5P-sEAsGGB1XVYjwSXJtEV65u8Hcrcgv3vkLE4RIa6sJoXlvg0eTlvxtaTCJa8vNEcho0g98QzGgjdGXrgI-JbEEIV6aCeVjPTj2gKOqz2EK54nQJYC4vHtv9ZBtb4B9epLgKuGsZNzPegZ45DPaY5X2KI6PyOKvY2vrMe3WPLHyb27HkD9xLY9qoe4WBCUSCAoaiwb07ozgCEnb1BvwCjDkLRez2QJu8gjaki0IiA07EY4L18DsfLHcC2wG-ANvdyyjqcTlN9_72q_oDPe5RDuEBMG6RNnS8aylRqoyNjqRPnRA7h0yH4Rg2j_HeRNM_us3gGiW6OHhbMtWvryH9JycdOzvlsVulm5MMUS1h8xKq9BtNDFl_L9EeCuU0NXdEVqXdXR9J6FA2n95fMOO28DBiZZF0tGhBehD0osENEvZV0LtfAj_mzBBNUKzqe-K2oA&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Nand Chat Bhandar,Street Food,26.8957669,75.82746259999999,Jaipur,4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpfZwQxsAQz8Z5r8rFwmp3T8YGy59CAsylVTwsWwfKEf6dTBxsEv-tBBXleNITjSbqOGywQqxZf48sMTqrVNMcL7abuisyJe0f2DCQYLfwy6ovziUR4FaRATB2f_G8VBVY5MOowzCB4lNWZOVjN3Yhl57_LGY1xz9NekERKn9LpQTzqyWhvzWlybpL5nngRiHU6ohFnjCw5AZYoAHD7bzmdsskWLavjzjjF1nHzZw939cyznmV-vVThMnkX_HPyGjAKio1ComLfzKSAIcxJqd18v_1YWnNOjK5Q3Qd9etCfh6F_tw3NBfRK_rDiWsmY0Hv9m0aBAQciqVj1mSvL6dPbQL9eLUsS0C74NF_YvGdfSKwISj9MeBvbOB5MBwREM49LRXunk2oyKk1DG1Jb1r8kVOpwC2WgrbP9gyBg75GrIQTIKsM6MK5UUlCZHPXvOleua9pncEccd8DscVmdYBpDodLqLpIGupghSSKxoQwEQ4jyId1H59xRTgccSW_GGYZLjFLabv2wKZ8zo22RmIeUQEpcvFV930S95eyqHMN-o_m1xeyVfOFpIWfWz9JTtLVsUxras&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Sanjay Omelette - Egg Dee,Street Food,26.890334,75.8104061,Jaipur,4.2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpfLarqjHLmUX1plcjwL6o7toV0mvqpu2Jeo0_i5HEEkLOmLMKaIS3XB6JWP3Z8f1yU1Tlx4azcBtf105H1LeZrW5ODq_TXArV7tdw6fK6UaJwj53VYEUTK9J5R7iWP_U7c0xo6RQ9D2ZED0exGeEqcQof2jVc-RyCHFQzSB_oARlgWC0l207js8iXBFw7vJiaV6amhhkBC2Zu3co5STrLO-hH4zkWWV5eB0onrTFsBd6hbE1_9M9oTAiHJwK7quB-xRBLETiv36Zrjan4X_2B8Q-px4UNeTDR8b2JNNdh75iasdCJ5hIYmu5efruLzdx96VL5CCMccjEADsx5sTEYz6Z231j9w_HEzSqoQ0fBwdBm6qdwtwJU-fH_iNhCZoh7KScFAnltuU7Umxa6vld9Q-AFF0oqZj78eF5tQnt_YjNoKDKlRYcuSOqwgFkNsSK-FhEOJ2hBGoNxFStxP7MQ2ztnvlAbzseA228JllTgljNjVyLcCRCXcH5ghhvqOfA250HJve7gAHnQ5GzgXF3mgDcx4CSBqZKFJQUsMP1pjyzWZHeo0qVo2YboQWJpIJxqcRkdKu&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Aunty's cafe,Street Food,26.9091698,75.8023029,Jaipur,3.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpf-jgXA0z2KFlyNCFtRwPqPPpCXmAOD54sk1fzz4hYH6wS9fTvthOn2HBFcYIpg0O6S60PX68mRk6xfV98aGRUK_5vyXFrOJRwNGAVpNdEEEp11fe_eQ9zIjZmFK2nOWdYJYnZTHVZRnqY1mVmLFbM3l8G1Siw1fYhiy7BLBFQtvVvzqlwvLoSITKQyl9APnIS6OXkiM-cFwOOgr_YiqSBtwXLLYcEUJo5ZWUV6FSzSGMKhGhN-u_JizXKBEQOgrKWL-n8t56A-H2KggCbGN-7CGdOFDM2nQ2Va90LkzuA8jaw7eaiidSTuSXGaceY0NdMSgqc1qhkqZxjC2AYb9yDBYtQDGF5Q_0eHGnSnxLpufRdrak4tw2xzm2FBnl03YdwDWi_txJYe_7HhBZJWwZF_ddpLCvAHc1DWGBDvMUa1aw0Sa08rYSVG0ZVMIZKEk3E6xETsODmea94MmpNytplYw9GXejShy_smdfoNyW5emavy2mwMxE18lyUdI8CmhzJI9lJrrJlN-RSw2TdXOirqqCzuaDJkoLZ7OgPUOFvQioS4e5sTVK5OPN1ijqXhAHOgFJNc5vFVrg&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Street Café,Street Food,26.8974009,75.8233427,Jaipur,4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpebqvc__Q6306QF8x9826B0wniHRM8YpAvERr4vxvv99GxFZncawY0IJocYPbu-ioi-Frk1wjW0dKLmYsdozXFMB_9bZEM5vImESrW4uXQPVmQUoa1RiH2LWdg6LviBqjip5Dh7Ro4_-gaqkFx-BSPshWZuTYAoWmrgNhfEKYadNsGbCdIuQClQSIZh1dh0eflLUlriKUx_d_i2HZpeQuVvB4YYV_NuWtlFGNZ6d704yvbLJwbSB82H4DbAA9Xy3yGjrqFZPqLHD5Rb7Fr4YcG9D107fc2wKh1JerZBZhr5FcgVnzNmKiVL-OrcmW_S0NAGQ2MQ1kq5iSfvHEXW62v31BBC0uvWhPy5q3EK_y_Uy4VpW-2y-XoTelfBOKuxIKurUv7tHuJqVmO9aLRv1PedfaIxLxWWiU5ZaUKmH01c7ELBk3x3PY-QZHt0AJ_QoY5u4As3kfqo7MewwUT3EUZ3tXtCiad_vVJZDl3CmGmlMFP1GG-DYpzAAOoBFMyOhL5wFnVv5lXQqCgrNmKzQZiK3B2bgw5cJSsNzicgh5k6J_L9NPWRD8HeKNoWqLtxx7Qy1w&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Amritsari kulche wale,Street Food,26.895458,75.8301541,Jaipur,4.1,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpevkRnN-3m5nBVrtL0emPCmu3TvVjJvfHFTOt2RHe-Gedx4ETCHZPNReS97L48FKx8twtrqRD_EwU6D4BRiYC8twHzbV7crjYSIO4rjsVKTzstvRD6IquG_ViuqLMHCWkrf7BxxF27xSYMhB-LULn0oK7O94ZWt9pTvJvxpdsmp9z8pHwg-Y-3TmCTQa5IeOLYwGKadK2MQF9uNN0TsWrNfi1UNq7VkWfsNL3Z27WN6Z9ilwvVcW5DbEKfwotrc5FTViJs-y9ZAMy9BFVyeVqkz45nm84uFni786uNSHo5Vse0Y6H03-76HFmQmqcNFXTOoUzX_gCQbsYZEROAKmLvak1UMYy9JE9ncZ76PISzFSTh0IxXAI5zjIJlBt0jVfNO5bjOUcrzOZTGKBV_IcVZ5QCLLlqbAXztBbCU1Vzwbxg5xb81uwWQWvZ9Ub-0LCRFCXNOjhpe-OyVO5yLGa4o6CtedzcfIoYxZcYYQBavf4GVBDXKyNMu5uNDPN5-ck7ls_zf8ljIKI_QSM8iRUi3m16pzKx02G3D6S-rWicbjwqqSJ7FmTqDDRhy-2NVL_baplrOM&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Jain Chawal Wale,Street Food,28.631678,77.2159592,Delhi,3.9,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpdigVKOsQOicH1BBDnzyavnAMLDUjihEkpu1bzXiDvYMBfR7YLqs8w12EVZa2Z0yjcNY4jevZh0HmG6ZmS1eMiEtJn4zbgVwpR_Wd_fWsW4BIl2C4Smn3aGm79IaAAJcIo9b41bT1hDFpxEnHt2iipqsFRwsvw2HVeY4HRlgy4n1BBvs_bQphPa5KtDlgOKdNmMHq2OjLhsn7YebEJOIBrQRjfYSrkqCOiq9pGyt-TSiVH6V-vFXfPuVObrxjGu-IA_KdYQzckZI8HXOKWWYMjcs6v45hM-Opz76YbAQJa2IEyWffVC1V4OIX3ZrM62PDWeNJ5ZgmmCzKfOO16gYul3oXZ6_iXpA7y_LORaDaq8wpterZaRq4-QiZ9ihwT-yOnITUWoocUhE2n3sQB6YvW7A_OHuNgvq3Z6647jIH8EcRWGmdK_3PupcZpdQzwU20JTnGrTz6A684yvZaK-451JKXY6_N2a5pTHVv3Uq7ia4OR_5AhQ80Gki5HS4AsMPmBrOMicE424PiGqBUj8VMD5chojO4sLOMmCgnZG63Rh6w9Sd3lCMhunzFIh1fXU9Rg&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
Street food wala,Street Food,28.5446519,77.3041081,Delhi,4.9,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpepUe3U_9NDS1i4GyFDN1dlW7pkS-OC9p7lne6aE3qwC2zKZd-zxvHpDSvhJ2HiAMN1TyBPOLPZJCJ6qvt12zYI-bM4bzmh1uPauT25xLMw2aTqO_HEoGZIvstsz_dXOPzSlQfLRbQ0IEttUCTIjIPC_x5WWAwnkHG2mimQJM2X7sTrit6XLgLq7CAURIvKj3h037nCBI16Q3j6K2iglqfVb_KthlZNEJ3e5sEFccCazyEhvZD-oiX5LiNVzzngRw9KemLsvLUgkycMatgE8PHskWQmYytiMT_57336Bl_QTpmW9SoluLYNcnbs3l9DZ4x_ae_OpN94ZEO8kQMEk9tA2P7Ys7X3xwM9hAd4BckUSVrwOuhZFTnkEaVSr6DNkLwVc3SMN6CHhNxOrIQ_BEojLGnk-gLbF2CdXKJIUHwhSaDbtuvaf-J-adVasFEZkrt2BgEGlxGFjvBnvSxnNBikrnXAt0_O5zaBApRp-UYib7tvELQ4-WPGpDpIORg47gkYbRBAwygxuW_maElHHu7TWimjLGB0Fw7yJaIYx_jgMnyCtjJImIYLRx5Jef6cL7HyVNf8&key=AIzaSyAN1Y6DgLtlU24YTlp77O2gR_Lw4xiC03w,
